download_url,document_url,title,date_uploaded,description,tag,category,language,privacy,total_views,slideshare_views,embed_views,total_likes,total_comments,total_downloads
https://www.slideshare.net/dwnld_file?s_title=open-source-at-scale-the-apache-software-foundation-2018,https://www.slideshare.net/bdelacretaz/open-source-at-scale-the-apache-software-foundation-2018,Open Source at Scale: the Apache Software Foundation (2018),2018-09-10 13:16:59 UTC,"Slides of my keynote at Solutions Hamburg 2018, https://solutions.hamburg/strategy-meets-tech/","apache,opensource,opendevelopment",presentation,en,public,3761,3756,5,1,5,10
https://www.slideshare.net/dwnld_file?s_title=karate-the-black-belt-of-http-api-testing,https://www.slideshare.net/bdelacretaz/karate-the-black-belt-of-http-api-testing,"Karate, the black belt of HTTP API testing?",2018-09-11 07:48:45 UTC,"Slides of my talk on the Karate testing tool at adaptTo() 2018, https://adapt.to/2018/en/schedule/karate-the-black-belt-of-http-api-testing.html","karate,http,testing,java,maven,sling,junit,adaptto",presentation,en,public,1234,1226,8,2,12,21
https://www.slideshare.net/dwnld_file?s_title=state-of-the-feather-apachecon-north-america-2018,https://www.slideshare.net/bdelacretaz/state-of-the-feather-apachecon-north-america-2018,State of the Feather - ApacheCon North America 2018,2018-09-25 10:17:01 UTC,"Slides of the ""State of the Feather"" talk that I gave at ApacheCon NA 2018 in Montréal, Canada. http://apachecon.com/","apache,apachecon,asf,community,montreal",presentation,en,public,430,397,33,2,3,3
https://www.slideshare.net/dwnld_file?s_title=serverless-introduction-et-perspectives-concrtes,https://www.slideshare.net/bdelacretaz/serverless-introduction-et-perspectives-concrtes,Serverless - introduction et perspectives concrètes,2019-05-02 12:41:50 UTC,"Slides de ma présentation d'avril 2019 à l'API-NE, Neuchâtel.
La vidéo est disponible sur https://www.youtube.com/watch?v=btpGHOIOlx8","serverless,openwhisk,faas",presentation,en,public,273,258,15,0,2,3
https://www.slideshare.net/dwnld_file?s_title=sling-and-serverless-best-friends-forever,https://www.slideshare.net/bdelacretaz/sling-and-serverless-best-friends-forever,"Sling and Serverless, Best Friends Forever?",2019-09-04 07:19:26 UTC,"Slides of my ""Sling and Serverless, Best Friends Forever?"" presentation at adaptTo() 2019, Berlin. A video recording will be available later at https://adapt.to/2019/en/schedule/sling-and-serverless-best-friends-forever.html
","sling,openwhisk,serverless,microsling,adaptto",presentation,en,public,473,444,29,0,1,3
https://www.slideshare.net/dwnld_file?s_title=shared-neurons-the-secret-sauce-of-open-source-communities,https://www.slideshare.net/bdelacretaz/shared-neurons-the-secret-sauce-of-open-source-communities,Shared Neurons - the Secret Sauce of Open Source communities?,2019-10-28 09:50:29 UTC,"Slides of my talk at ApacheCon EU 2019in Berlin, Germany: Shared Neurons - the Secret Sauce of Open Source communities? See also the video recording at https://www.youtube.com/watch?v=pWG-F3vW24w

Open Source communities sometimes speak of Shared Neurons when great ideas come together as if sparked by a giant collective brain. Can we take inspiration from them and foster such neuron sharing in our teams? We will describe the tools and techniques used by successful Open Source projects to ""put their brains together"", by communicating openly and often, exposing concrete ideas early in prototype code, collaborating asynchronously and deliberately slowing things down to take advantage of unexpected Eureka moments.

Based on years of experiences in multiple Open Source projects, this talk will help you better understand what makes our communities so powerful and how to transpose this in your own teams.","open source,collaboration,apache,apachecon,community",presentation,en,public,372,361,11,0,1,0
https://www.slideshare.net/dwnld_file?s_title=lopen-source-change-le-monde-blendwebmix-2019,https://www.slideshare.net/bdelacretaz/lopen-source-change-le-monde-blendwebmix-2019,L'Open Source change le Monde - BlendWebMix 2019,2019-11-12 15:14:01 UTC,"Ma présentation à https://www.blendwebmix.com/ 2019 
Video: https://youtu.be/eE7YhQpPdcM?t=4560

Dans un monde qui se numérise toujours plus, les logiciels libres sont partout: dans votre téléphone, votre ascenseur, votre voiture, votre banque, etc… plus que jamais, l’Open Source est au coeur de notre monde numérique.

Au-delà de ces contributions très concrètes au bien-être de nos sociétés, les communautés Open Source ont aussi inventé et mis en pratique des techniques de collaboration innovantes, distribuées, asynchrones. Souvent sans chef clairement identifié, ni planification précise, ces groupes de travail informels produisent des logiciels de grande qualité, qui pour certains ont créé des marchés ou révolutionnés les pratiques numériques. Le succès de ces groupes est étonnant quand on le compare aux nombreux projets informatiques ratés dans des groupes beaucoup plus structurés, entreprises ou organismes d’Etat par exemple.

L’Open Source change le monde…vraiment? Tout en gardant les choses en perspective, nous présenterons plusieurs exemples concrets où cela se vérifie, par la création d’outils partagés, la découverte de talents, la diffusion des connaissances et la création de logiciels d’infrastructure qui sont devenus des standards de l’industrie.","open source,apache,blendwebmix,collaboration",presentation,fr,public,487,466,21,0,6,0
https://www.slideshare.net/dwnld_file?s_title=how-to-convince-your-left-brain-or-manager-to-follow-the-open-source-path-that-your-right-brain-desires,https://www.slideshare.net/bdelacretaz/how-to-convince-your-left-brain-or-manager-to-follow-the-open-source-path-that-your-right-brain-desires,How to convince your left brain (or manager) to follow the Open Source path that your right brain desires,2020-03-05 10:58:48 UTC,"Slides of my FOSS Backstage 2020 presentation, which I delivered remotely - the video is at https://youtu.be/F0SmiQ3SF6Q ","opensource,community,collaboration,asynchronous-decision-making,apache",presentation,en,public,300,282,18,0,0,1
https://www.slideshare.net/dwnld_file?s_title=open-source-changes-the-world,https://www.slideshare.net/bdelacretaz/open-source-changes-the-world,Open Source Changes the World!,2020-09-29 17:47:36 UTC,"Slides of my talk in the Community track of the ApacheCon @Home 2020 conference. The video will be available on the ""TheApacheFoundation"" channel on YouTube, https://www.youtube.com/channel/UCLDJ_V9KUOdOFSbDvPfGBxw","opensource,apache,asf,collaboration",presentation,en,public,318,312,6,0,0,1
https://www.slideshare.net/dwnld_file?s_title=graphql-in-apache-sling-but-isnt-it-the-opposite-of-rest,https://www.slideshare.net/bdelacretaz/graphql-in-apache-sling-but-isnt-it-the-opposite-of-rest,GraphQL in Apache Sling - but isn't it the opposite of REST?,2020-10-01 18:08:39 UTC,"Slides of my talk at ApacheCon @Home 2020 - code at https://github.com/apache/sling-org-apache-sling-graphql-core/ (look for the ""sample website"")  - video recording at https://youtu.be/KTMObGt0YKU","graphql,sling,apache,java,osgi,rest,http",presentation,en,public,611,584,27,0,0,1
https://www.slideshare.net/dwnld_file?s_title=the-moving-house-model-adhocracy-and-remote-collaboration,https://www.slideshare.net/bdelacretaz/the-moving-house-model-adhocracy-and-remote-collaboration,"The Moving House Model, adhocracy and remote collaboration",2021-02-11 13:01:13 UTC,"Slides of my February 2021 talk at FOSS Backstage, https://foss-backstage.de

Moving house with the help of a group of friends is an interesting exercise in collective improvisation and coordination. Everybody can help with most of the jobs at hand, so the challenge is to keep people busy in a meaningful way, to make the best use of the physical and intellectual resources available, while keeping people happy and engaged.

Sounds familiar? The Moving House model does apply to other types of group projects, including software development. Adhocracy, Asynchronous Collaboration and a can-do attitude, as practiced in Open Source communities, are key elements that enable groups that have no formal structure to collaborate efficiently and smoothly - like when helping friends moving house.","collaboration,opensource,opendevelopment,fossbackstage",presentation,en,public,258,241,17,0,0,0
https://www.slideshare.net/dwnld_file?s_title=repoinit-a-minilanguage-for-content-repository-initialization,https://www.slideshare.net/bdelacretaz/repoinit-a-minilanguage-for-content-repository-initialization,Repoinit: a mini-language for content repository initialization,2021-09-29 10:11:27 UTC,"Slides of my adaptTo2021 talk on the Apache Sling Repoinit module, https://adapt.to/2021/en/schedule/repoinit-a-mini-language-for-content-repository-initialization.html","apache,sling,repoinit,aem,java,javacc",presentation,en,public,214,193,21,0,0,2
https://www.slideshare.net/dwnld_file?s_title=surviving-large-online-communities-with-conciseness-and-clarity,https://www.slideshare.net/bdelacretaz/surviving-large-online-communities-with-conciseness-and-clarity,Surviving large online communities with conciseness and clarity ,2022-03-28 11:08:10 UTC,"Slides of my FOSS Backstage 2022 (remote) talk, https://pretalx.com/foss-backstage-2022/talk/9S3PJE/ - how conciseness & clarity help communicate efficiently in large online communities.","community,apache,collaboration,writing",presentation,en,public,59,44,15,0,0,1
https://www.slideshare.net/dwnld_file?s_title=vanillajs-the-web-platform-a-match-made-in-heaven,https://www.slideshare.net/bdelacretaz/vanillajs-the-web-platform-a-match-made-in-heaven,"VanillaJS & the Web Platform, a match made in heaven?",2023-02-02 10:23:27 UTC,"Slides of my talk at Very Tech Trip 2023, Paris, on what the Web Platform is and how I think it makes JavaScript Web Frameworks obsolete in many cases.","html5,html,css,web,javascript,w3c,webplatform,standards,react,angular,vue",presentation,en,public,15,15,0,0,0,3
